Version,File Name,Method Name,LOC,CognitiveComplexity,CyclomaticComplexity,CodeSmells,NestingDepth,ParameterCount,Churn,ElseAdded,ElseDeleted,DecisionPoints,Buggy
1,StorageContainer404.java,StorageContainer404 of(),3,0,1,0,0,0,0,0,0,0,No
1,StorageContainer404.java,long getId(),4,0,1,0,0,0,0,0,0,0,No
1,StorageContainer404.java,CompletableFuture<StorageContainer> start(),4,0,1,0,0,0,0,0,0,0,No
1,StorageContainer404.java,Channel getChannel(),4,0,1,0,0,0,0,0,0,0,No
1,StorageContainer404.java,CompletableFuture<Void> stop(),4,0,1,0,0,0,0,0,0,0,No
1,StorageContainer404.java,void close(),4,0,1,0,0,0,0,0,0,0,No
1,NukeExistingClusterCommand.java,"boolean apply(ServerConfiguration, NukeExistingClusterFlags)",17,1,2,0,1,2,0,0,0,1,No
1,BatchedBlockingQueue.java,"void putAll(T[], int, int)",1,0,1,1,0,3,0,0,0,0,No
1,BatchedBlockingQueue.java,int takeAll(T[]),1,0,1,1,0,1,0,0,0,0,No
1,BatchedBlockingQueue.java,"int pollAll(T[], long, TimeUnit)",1,0,1,1,0,3,0,0,0,0,No
1,WriteHandle.java,CompletableFuture<Long> appendAsync(ByteBuffer),3,0,1,0,0,1,0,0,0,0,No
1,WriteHandle.java,long append(ByteBuffer),3,0,1,0,0,1,0,0,0,0,No
1,WriteHandle.java,long append(byte[]),3,0,1,0,0,1,0,0,0,0,No
1,WriteHandle.java,CompletableFuture<Long> appendAsync(byte[]),3,0,1,0,0,1,0,0,0,0,No
1,WriteHandle.java,"long append(byte[], int, int)",3,0,1,0,0,3,0,0,0,0,No
1,WriteHandle.java,CompletableFuture<Void> closeAsync(),2,0,1,0,0,0,0,0,0,0,No
1,WriteHandle.java,long append(ByteBuf),3,0,1,0,0,1,0,0,0,0,No
1,WriteHandle.java,"CompletableFuture<Long> appendAsync(byte[], int, int)",3,0,1,0,0,3,0,0,0,0,No
